metadata_id,source_row_number,序号,标识号,角色,角色别名,角色类型,一级行当,二级行当,来源剧目,来源剧目别名,来源剧目出处,表演者,语种,关联角色,谱式,绘法,图案,主色,主色寓意,眉形,眼型,额头型,鼻型,嘴型,绘法说明,性格特征,历史演变,图像格式,图像宽度,图像高度,图像大小,图像水平分辨率,图像垂直分辨率,图像位深度,图像创建日期,角色简介,来源剧目简介,表演者简介,流派,参考资料
068,69,68,,项羽,霸王,将官类,净,武净,霸王别姬,九里山、楚汉争、十面埋伏、垓下围、乌江自刎、乌江恨,史记·项羽本纪,郝寿臣,中文,虞姬,花三块瓦脸,勾脸,,黑色,,寿字眉,倭口眼窝,立柱纹,哭鼻窝,,,,,jpg,412,502,30.6,96,96,24,2020.1.5,,,郝寿臣（1886年-1961年），著名京剧表演艺术家、教育家，工架子花脸。原籍河北香河，幼年随父迁京，从师吕福善、唐永常、朱子久、阎宝恒等学艺。郝寿臣融金秀山铜锤与黄润甫架子两家艺术于一炉，唱念上自成一格，创成被誉为“架子花脸铜锤唱”的郝派艺术。他以气魄取胜，唱念韵味浑厚，工架凝练，表演浑然一体。他艺术态度严谨，善于刻画人物，数十年艺术生涯中，在220余个剧目中扮演过160多个主要和次要角色。与侯喜瑞、金少山并称“净行三杰”。,,
069,70,69,,彭越,,将官类,净,武净,霸王别姬,九里山、楚汉争、十面埋伏、垓下围、乌江自刎、乌江恨,史记·项羽本纪,通用,中文,项羽,三块瓦脸,勾脸,,紫红色,,细眉,,随意形,碎鼻窝,火盆嘴,,,,jpg,412,502,41.6,96,96,24,2020.1.5,,,,,
070,71,70,,吕马童,,将官类,净,副净,霸王别姬,九里山、楚汉争、十面埋伏、垓下围、乌江自刎、乌江恨,史记·项羽本纪,通用,中文,项羽,三块瓦脸,勾脸,,棕色,,,尖眼窝,如意钩形,碎鼻窝,,,,,jpg,412,502,37.5,96,96,24,2020.1.5,,,,,
071,72,71,,铫期,,将官类,净,武净,草桥关,威镇草桥、思念功臣、万花亭,东汉演义,郝寿臣,中文,郭荣,十字门脸,勾脸,,白色,,老眉,老眼窝,立柱纹,满鼻窝,,,,,jpg,412,502,25.1,96,96,24,2020.1.5,,,郝寿臣（1886年-1961年），著名京剧表演艺术家、教育家，工架子花脸。原籍河北香河，幼年随父迁京，从师吕福善、唐永常、朱子久、阎宝恒等学艺。郝寿臣融金秀山铜锤与黄润甫架子两家艺术于一炉，唱念上自成一格，创成被誉为“架子花脸铜锤唱”的郝派艺术。他以气魄取胜，唱念韵味浑厚，工架凝练，表演浑然一体。他艺术态度严谨，善于刻画人物，数十年艺术生涯中，在220余个剧目中扮演过160多个主要和次要角色。与侯喜瑞、金少山并称“净行三杰”。,,
072,73,72,,吴汉,,将官类,净,副净,长安闱,杀妻犒军、献长安、吃人肉,东汉演义,郭元汾,中文,刘秀,三块瓦脸,勾脸,,红色,,直眉,直眼窝,锥形,卷鼻窝,,,,,jpg,412,502,29.6,96,96,24,2020.1.5,,,郭元汾（？-1962年），京剧净角，京剧演员郭春山先生的长子。在入富连成科班后主攻铜锤花脸。郭元汾在唱法上不尚雕饰，吐字行腔遵循传统，追求严谨朴拙的风格，极少个人的发挥创造。他的唱功可称是黄钟大吕，声震屋瓦，他的做功边式好看，细腻传神，是位不可多得的全才净角。解放后调入北京，编入解放军总政治部文工团京剧团，后并入中国京剧院，列为四团。1958年郭元汾随四团支援宁夏，成立宁夏回族自治区京剧团。,,
073,74,73,,魏延,魏文长,将官类,净,武净,战长沙,,三国演义,郝寿臣,中文,关羽,花三块瓦脸,勾脸,,紫红色,,凝眉,大奸眼窝,立柱纹,卷鼻窝,,,,,jpg,365,450,25,96,96,24,2020.1.5,,,郝寿臣（1886年-1961年），著名京剧表演艺术家、教育家，工架子花脸。原籍河北香河，幼年随父迁京，从师吕福善、唐永常、朱子久、阎宝恒等学艺。郝寿臣融金秀山铜锤与黄润甫架子两家艺术于一炉，唱念上自成一格，创成被誉为“架子花脸铜锤唱”的郝派艺术。他以气魄取胜，唱念韵味浑厚，工架凝练，表演浑然一体。他艺术态度严谨，善于刻画人物，数十年艺术生涯中，在220余个剧目中扮演过160多个主要和次要角色。与侯喜瑞、金少山并称“净行三杰”。,,
074,75,74,,孟达,孟子度,将官类,净,副净,走麦城,麦城升天、白衣渡江、荆州失计,三国演义,朱斌仙,中文,刘封,元宝脸,勾脸,,,,本眉,,,尖鼻窝,,,,,jpg,351,450,20.4,96,96,24,2020.1.5,,,,,
075,76,75,,严颜,,将官类,生,老生,过巴州,收严颜、夜过巴州、两张飞、义释严颜,三国演义,侯喜瑞,中文,张飞,六分脸,勾脸,,粉红色,,老眉,,立柱纹,,,,,,jpg,367,450,19.3,96,96,24,2020.1.5,,,侯喜瑞（1892年2月23日-1983年2月22日），京剧净角。幼入富连成科班，先学梆子老生，后师从韩乐卿学架子花脸和武花脸戏。出科后拜黄润甫为师，颇得真传，并在严承师教基础上，根据自身条件扬长避短，形成新的艺术风格“侯派”，与金少山、郝寿臣三足鼎立。侯喜瑞虽然嗓音较哑，但字准音足，听起来简练隽永，字字入耳。早年在富连成社担任武生净行教师，晚年在中国戏曲学院、北京市戏曲学校任教。,,
076,77,76,,沙摩柯,,将官类,净,武净,连营寨,火烧连营七百里,三国演义,通用,中文,周泰,花三块瓦脸,勾脸,,灰色,,,,随意形,碎鼻窝,虎嘴,,,,jpg,366,450,27,96,96,24,2020.1.5,,,,,
077,78,77,,姜维,姜伯约,将官类,净,武净,铁笼山,草上坡、九伐中原、山顶拜泉、败阵祈泉、大战蛮兵,三国演义,杨小楼,中文,郭淮,三块瓦脸,勾脸,,红色,,直眉,直眼窝,太极形,卷鼻窝,,,,,jpg,361,450,23,96,96,24,2020.1.5,,,杨小楼（1878年-1938年），名三元，安徽怀宁人，京剧武生演员，有“武生宗师”的盛誉。自幼入小荣椿社学艺，工武生。十七岁出科后，拜俞菊笙为师，又得谭鑫培等名家指点。杨小楼嗓音清脆洪亮，唱念均遵“奎派”风范，咬字清楚真切，间有京音，行腔朴直无华。在艺术上继承家学，同时博采众长，逐渐形成独树一帜的“杨派”。武打步法准确灵敏，无空招废式，贴切地表现人物的性格，着力体现意境，追求神似，也即“武戏文唱”的杨派特点。,,
078,79,78,,夏侯德,,将官类,净,武净,定军山,一战成功、老将得胜、取东川,三国演义,王长林,中文,夏侯渊,碎脸,勾脸,,绿色,,,垂眼窝,钱形,碎鼻窝,,,,,jpg,358,450,28.2,96,96,24,2020.1.5,,,,,
079,80,79,,张苞,,将官类,净,武净,连营寨,火烧连营七百里,三国演义,钱金福,中文,刘备,十字门脸,勾脸,,黑色,,环眉,环眼窝,立柱纹,笑鼻窝,,,,,jpg,370,450,23.1,96,96,24,2020.1.5,,,,,
080,81,80,,邓艾,邓士载,将官类,净,副净,坛山谷,姜维屯田,三国演义,郝寿臣,中文,姜维,三块瓦脸,勾脸,,白色,,柳叶眉,直眼窝,锥形,满鼻窝,,,,,jpg,367,450,20.2,96,96,24,2020.1.5,,,郝寿臣（1886年-1961年），著名京剧表演艺术家、教育家，工架子花脸。原籍河北香河，幼年随父迁京，从师吕福善、唐永常、朱子久、阎宝恒等学艺。郝寿臣融金秀山铜锤与黄润甫架子两家艺术于一炉，唱念上自成一格，创成被誉为“架子花脸铜锤唱”的郝派艺术。他以气魄取胜，唱念韵味浑厚，工架凝练，表演浑然一体。他艺术态度严谨，善于刻画人物，数十年艺术生涯中，在220余个剧目中扮演过160多个主要和次要角色。与侯喜瑞、金少山并称“净行三杰”。,,
081,82,81,,孔秀,,将官类,净,武净,过五关,辞曹斩将、过关斩将,三国演义,通用,中文,关羽,三块瓦脸,勾脸,,红色,,奸眉,大奸眼窝,锥形,尖鼻窝,,,,,jpg,372,450,23.2,96,96,24,2020.1.5,,,,,
082,83,82,,秦琪,,将官类,净,武净,过五关,辞曹斩将、过关斩将,三国演义,通用,中文,关羽,歪脸,勾脸,,黑色,,,鸟眼窝,螺形,歪鼻窝,,,,,jpg,362,450,28.5,96,96,24,2020.1.5,,,,,
083,84,83,,司马懿,司马仲达,将官类,净,副净,失街亭,,三国演义,郝寿臣,中文,马谡,整脸,抹脸,,白色,,本眉,奸眼窝,,,,,,,jpg,369,450,19.7,96,96,24,2020.1.5,,,郝寿臣（1886年-1961年），著名京剧表演艺术家、教育家，工架子花脸。原籍河北香河，幼年随父迁京，从师吕福善、唐永常、朱子久、阎宝恒等学艺。郝寿臣融金秀山铜锤与黄润甫架子两家艺术于一炉，唱念上自成一格，创成被誉为“架子花脸铜锤唱”的郝派艺术。他以气魄取胜，唱念韵味浑厚，工架凝练，表演浑然一体。他艺术态度严谨，善于刻画人物，数十年艺术生涯中，在220余个剧目中扮演过160多个主要和次要角色。与侯喜瑞、金少山并称“净行三杰”。,,
084,85,84,,蒋干,,将官类,丑,文丑,群英会,草船借箭、蒋干中计,三国演义,萧长华,中文,黄盖,腰子脸,勾脸,,,,随意眉,,,,,,,,jpg,359,450,17.2,96,96,24,2020.1.5,,,,,
085,86,85,,司马师,,将官类,净,副净,红逼宫,司马师逼宫、废曹芳、定中原,三国演义,侯喜瑞,中文,曹芳,十字门脸,勾脸,,白色,,奸眉,垂眼窝,锥形,卷鼻窝,,,,,jpg,365,450,24.8,96,96,24,2020.1.5,,,侯喜瑞（1892年2月23日-1983年2月22日），京剧净角。幼入富连成科班，先学梆子老生，后师从韩乐卿学架子花脸和武花脸戏。出科后拜黄润甫为师，颇得真传，并在严承师教基础上，根据自身条件扬长避短，形成新的艺术风格“侯派”，与金少山、郝寿臣三足鼎立。侯喜瑞虽然嗓音较哑，但字准音足，听起来简练隽永，字字入耳。早年在富连成社担任武生净行教师，晚年在中国戏曲学院、北京市戏曲学校任教。,,
086,87,86,,郭淮,郭伯济,将官类,净,武净,铁笼山,草上坡、九伐中原、山顶拜泉、败阵祈泉、大战蛮兵,三国演义,范宝亭,中文,姜维,碎脸,勾脸,,黑色,,狼牙眉,垂眼窝,随意形,碎鼻窝,,,,,jpg,368,450,26.2,96,96,24,2020.1.5,,,范宝亭（1887年-1944年2月7日），北京人，著名京剧武净。科班出身，自幼坐科福寿班，和许德义同门。任荣春社教师、中华戏曲专科学校净行教师。范宝亭戏路极广，能演长靠戏、短打戏，经常参加名演员创演的新戏。范宝亭的跌打翻扑的特技功夫是无人与之匹敌的。他演戏不但应付自如，还发扬了他的革新精神。范宝亭有很多弟子，最知名的是刘奎官，厉慧良、景荣庆等也曾受教于他。,,
